provider,instance,bench_key,bench_name,unit,avg,min,max,1st_quartile,2nd_quartile,3rd_quartile,iqr,std,cpr,deg,std_perc,grad_std_perc,pqi
egi,T3-2,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,NET 5,MiB/s,1.3323135359116023,0.8633333333333333,1.43,1.2933333333333332,1.336666666666667,1.3733333333333333,0.08000000000000007,0.050647412149897375,0.09382776398384815,0.01602333757437127,0.03801463453213597,0.01601863883585021,0.023352203647452482
egi,T4-1,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,NET 5,MiB/s,1.3323434622467771,0.45333333333333337,1.4166666666666667,1.2933333333333332,1.336666666666667,1.3733333333333333,0.08000000000000007,0.056045760754256796,0.1876513129567877,0.015776078570891933,0.04206555016958231,0.020515866555377082,0.026119165098617107
egi,T1-1,4edcdef29160f30a36d7e070b8267674e810f5f0,DISK SEEK,ms,2.0093968692449353,1.8433333333333335,2.6300000000000003,1.9566666666666668,1.9966666666666668,2.046666666666667,0.09000000000000008,0.0837459858648514,0.14321373366482504,0.015166694704014832,0.04167717544833259,0.03011947342224467,0.028987781191530698
egi,T1-2,4edcdef29160f30a36d7e070b8267674e810f5f0,DISK SEEK,ms,183.39569981583793,1.72,858.5,8.330833333333333,226.13666666666666,276.15500000000003,267.8241666666667,194.96624552677562,13.0709783172744,0.454564869541968,1.06309060530076,0.7106939927971856,0.7427831558799711
egi,T2-1,4edcdef29160f30a36d7e070b8267674e810f5f0,DISK SEEK,ms,194.24340239410682,1.4633333333333332,835.9,9.883333333333333,234.71333333333337,284.4325,274.5491666666667,195.91177068459217,27.688231550865563,0.4289675188681124,1.008589060271403,0.6412131036548998,0.6929232275981383
egi,T3-1,4edcdef29160f30a36d7e070b8267674e810f5f0,DISK SEEK,ms,186.15249079189687,1.9133333333333333,823.8333333333334,9.091666666666667,232.87166666666667,272.67499999999995,263.5833333333333,187.91912302693493,23.270550568913446,0.42956312962308274,1.0094902422606475,0.6530637127086192,0.6973723615307832
egi,T3-2,4edcdef29160f30a36d7e070b8267674e810f5f0,DISK SEEK,ms,4.164369244935544,1.9933333333333332,76.78666666666666,2.1833333333333336,2.3049999999999997,3.6258333333333335,1.4425,6.452689982319732,0.5205794705709025,0.3324581119881363,1.5494999609285625,1.0955633487162348,0.9925071405443111
egi,T4-1,4edcdef29160f30a36d7e070b8267674e810f5f0,DISK SEEK,ms,3.5290791896869242,1.9966666666666668,64.17999999999999,2.189166666666667,2.3166666666666664,3.0025,0.813333333333333,4.267356557927973,0.8823262626887661,0.26527483945511776,1.2091983003380957,0.847596269906043,0.7740231365664187
egi,T1-1,4f1601a2fee6f318db2255d8d70480bcd32114bb,CPU LAT,ms,0.12113720073664824,0.12,0.14666666666666667,0.12,0.12,0.12333333333333334,0.003333333333333341,0.0019785752147315153,0.008633690570902394,0.006509157042272283,0.016333341060381024,0.01141844862582704,0.011420315576160115
egi,T1-2,4f1601a2fee6f318db2255d8d70480bcd32114bb,CPU LAT,ms,0.11956721915285451,0.11333333333333333,0.12666666666666668,0.12,0.12,0.12,0.0,0.0018792321433913255,0.008521794843462245,0.004991947785055922,0.01571695115689626,0.0107623078698777,0.010490402270609961
egi,T2-1,4f1601a2fee6f318db2255d8d70480bcd32114bb,CPU LAT,ms,0.12000460405156538,0.11666666666666665,0.12666666666666668,0.12,0.12,0.12,0.0,0.00037187546280445733,0.017105936279926338,0.0001533035240203774,0.0030988432964177298,0.002191381269056225,0.0018145093631647773
egi,T3-1,4f1601a2fee6f318db2255d8d70480bcd32114bb,CPU LAT,ms,0.11948434622467771,0.11333333333333333,0.12666666666666668,0.12,0.12,0.12,0.0,0.0019071502204225028,0.014936499152854513,0.00542246288941414,0.015961506931094622,0.01143633119482735,0.01094010033844537
egi,T3-2,4f1601a2fee6f318db2255d8d70480bcd32114bb,CPU LAT,ms,0.11890883977900552,0.11,0.12666666666666668,0.11666666666666665,0.12,0.12,0.003333333333333341,0.0024463460528104633,0.014864556243093921,0.008226754005134403,0.020573290071260027,0.014246958086661706,0.01434900072101871
egi,T4-1,4f1601a2fee6f318db2255d8d70480bcd32114bb,CPU LAT,ms,0.11992173112338858,0.11333333333333333,0.12333333333333334,0.12,0.12,0.12,0.0,0.0007899089703793813,0.02998235152854512,0.0010506400775306755,0.006586870978093509,0.004505972200137187,0.004047827751920457
egi,T1-1,4f9036957f18874f519316848e75bed92f7ec50a,NET 2,MiB/s,4.469749079189687,1.9233333333333331,5.1866666666666665,4.200833333333334,4.681666666666667,4.8933333333333335,0.6924999999999999,0.6043615441886798,0.015945414102064265,0.05171488041073403,0.13521151489296654,0.08311488181099856,0.09001375903823304
egi,T1-2,4f9036957f18874f519316848e75bed92f7ec50a,NET 2,MiB/s,4.43133517495396,1.18,5.14,4.083333333333333,4.656666666666667,4.896666666666667,0.8133333333333344,0.6322912229033484,0.016083640073725747,0.05628751744317545,0.14268639088216065,0.0866795702632855,0.0952178261962072
