bench,a1.large-1,a1.large-2,a1.xlarge-1,m5.large-1,m5.large-2,m5.xlarge-1,A2-1,A2-2,A4-1,B2MS-1,B2MS-2,B4MS-1,e2-t1-1,e2-t1-2,e2-t2-1,n1-t1-1,n1-t1-2,n1-t2-1,T1-1,T1-2,T2-1,T3-1,T3-2,T4-1
CPU DUR,0.2809683794744226,0.27671692669942444,0.2666863251301445,0.5296927033189577,0.5352164834109382,0.25712774960249946,0.3142822958480691,0.14346627011426782,0.14248843027806252,0.30662604979564206,0.3101826750651674,0.14245349229983695,0.5218396405488275,0.5118006260038536,0.28521391872601365,0.5079668393533981,0.5049799640380256,0.28513975057584745,0.20853297465478562,0.30543541286760106,0.13872629710361847,0.3144143741196065,0.20188191253821935,0.10445586680986486
DISKB THR,0.05252384801640393,0.05197378338994661,0.04250337193687169,0.07436927568195166,0.07494640696470904,0.061267632513741885,0.06468849413435813,0.030788194145502785,0.03098835475231634,0.005583571448756097,0.006382286363734148,0.0038229645531578475,0.10760375803814502,0.11450935070577178,0.11472387415454037,0.13455911357712924,0.16793201935042046,0.1428037568476605,0.03620373275202596,0.16227919247163938,0.18077046572796887,0.1730593811377649,0.1327711454648703,0.1318515628858715
CPU EVENTS,0.023632455586602045,0.018031154889270123,0.00947260348033653,0.014680450280412873,0.012707380049394174,0.009195405954891324,0.04832314156881679,0.04488569559495005,0.04242993434741426,0.04934950004181283,0.05750599024008096,0.04285812753822654,0.01357525263546702,0.015857342378391155,0.010249672350644114,0.017242329213239673,0.014298301056883754,0.011566064144646986,0.011091432242748452,0.013218764592658267,0.00640559437966382,0.013448060112932408,0.01690186860353953,0.010123857889424737
CPU LAT,0.05135903794143642,0.04039526706827586,0.03417583782670685,0.022272403184633742,0.01823644068814063,0.02332961411604035,0.049590179769616556,0.04425599170203813,0.04176431161288287,0.04798629654681457,0.05362334574899993,0.0392759565164132,0.02571551538148875,0.029333539574098972,0.008712270856721098,0.029679786801496584,0.027603450697459366,0.010044268318475933,0.016333341060380976,0.015716951156896235,0.003098843296417719,0.015961506931094667,0.020573290071260013,0.0065868709780934585
DISK FILE R,0.024525142448328437,0.0488541157618867,0.05818139131481781,0.03204982532179755,0.06892195355860685,0.09007372792959516,1.2436827756979645,1.1450573908416446,1.1301568918880722,0.05081463247122395,0.04649624461753334,0.04933566315101265,0.0727769260443662,0.09182457714958604,0.08709933851326317,0.1050310818685935,0.09946743918067164,0.10577265116502448,0.01973695194377969,0.1990658293476964,0.18787174217692051,0.21059465448485523,0.16353736064589713,0.16494270891723017
DISK FILE W,0.024525190653106384,0.04885409284239457,0.05818137446611993,0.032049777812549425,0.06892187724872346,0.09007367649997794,1.2436824360103471,1.1450576916456592,1.1301566964698697,0.05081440047485012,0.04649637854868363,0.04933559518445752,0.07277705638101145,0.09182452764058084,0.08709940552824155,0.10503099486881222,0.09946738242798923,0.10577269014452052,0.01973745631301592,0.1990663470965356,0.18787159994534824,0.21059416385895488,0.1635384689923688,0.16494297096817595
DISK FILE F,0.02453109199562872,0.0488663097720462,0.0581897029436661,0.03204272559148619,0.06890975794303952,0.09005640964839653,1.2407688192642925,1.1425300692793772,1.1275741419596244,0.05077680044036979,0.046481490816994264,0.04932460490636562,0.07275670082325042,0.09179200998991303,0.08707666628058221,0.10500391014687536,0.09944120064950798,0.10574492765025809,0.01967783958640463,0.19873844716218492,0.18750608224231183,0.21018861871345584,0.163045429559859,0.16447515358483383
DISK THR R,0.024522413892855123,0.04885337079894673,0.05818419693352908,0.03205052485791486,0.06892392931892197,0.09007530875953272,1.243703540358757,1.1450358510876242,1.1301552034715128,0.05081338226086046,0.04649957540047915,0.0493366292573601,0.07277764898393337,0.09182077843681022,0.08709904364354977,0.10503047603000025,0.09946668993806587,0.10577031303969733,0.019752549756819414,0.19908220732984727,0.1878647722250282,0.2105702657355822,0.16355391606457284,0.1649453612054711
DISK THR W,0.024524094407147277,0.04885588665691098,0.05818107427675603,0.032048812717371006,0.06891792249095517,0.09007641115873684,1.2435525118843964,1.1449109939877036,1.130091078950414,0.050806315482827304,0.04650309863763747,0.04934125942934993,0.07277588407578099,0.09182922452690163,0.08709619558847201,0.10503284683744071,0.09946908091800417,0.10577296477259258,0.01979723295192146,0.19906170451799357,0.1878931007032197,0.21063255161260389,0.1635781370820362,0.164913515507378
DISK LAT,0.0209931052980483,0.05885590730876731,0.06823069048550512,0.04592498552129676,0.07228613212514733,0.09888539056241893,0.695529699893528,0.647359415761876,0.6529508571904585,0.0725963252061612,0.06312459427550039,0.06509524463738312,0.07441864585982995,0.093530448367589,0.08611665836013185,0.10570310191987821,0.10422454767844767,0.10648142720947333,0.030364561198488283,0.28937995311918796,0.19390171730609584,0.2120935557472723,0.2014330255478271,0.21244325236616624
MEM OPS,0.03068850188955283,0.020625727700372368,0.022324268908385268,0.008303667492964654,0.008757782613443319,0.01728685663531498,0.07116042705238877,0.09055577948879448,0.08712088442219923,0.08844535310907295,0.09099146677288536,0.04737048211713255,0.010928655701892609,0.01251992657416742,0.019324967171839433,0.011017587020939398,0.010535958978564065,0.032464927642236664,0.08916191476257336,0.13375709281302425,0.0727108123595368,0.1329761837860866,0.08220909891694071,0.04531180770280567
MEM SPEED,0.03068850188955283,0.020625727700372368,0.022324268908385268,0.008303667492964654,0.008757782613443319,0.01728685663531498,0.07116042705238877,0.09055577948879448,0.08712088442219923,0.08844535310907295,0.09099146677288536,0.04737048211713255,0.010928655701892609,0.01251992657416742,0.019324967171839433,0.011017587020939398,0.010535958978564065,0.032464927642236664,0.08916191476257336,0.13375709281302425,0.0727108123595368,0.1329761837860866,0.08220909891694071,0.04531180770280567
MEM LAT,0.05649592103952535,0.041504449286330854,0.022266074634925786,0.01379479814585107,0.012921075888694726,0.025956925981876044,0.07735834413429257,0.09462645835110997,0.09230002770246291,0.09901976713804236,0.09787907374817716,0.04844993569327264,0.012194716209154336,0.016091634390269373,0.02492214177944304,0.011095544516561133,0.012069109063276785,0.040795262024342284,0.08294268875553677,0.15456034445408218,0.06507439011112577,0.15225044428658127,0.08100961828394086,0.037804615252337505
CPU TH LAT,0.034731969374740074,0.03152745549968165,0.056533394264355226,0.023232276430576116,0.02610084693946697,0.026078748358146407,0.1317380964429981,0.09747201065125634,0.0955803799720535,0.09318397789099533,0.08738962925211756,0.07882179250628578,0.012022117428603232,0.012481105054265147,0.014651290092339297,0.013617884540976413,0.014233256278140134,0.019801005865062855,0.047703109491776065,0.021066513520593348,0.019896297110965605,0.022198040126198717,0.026688116347189816,0.018627418902299565
DISK SEEK,na,na,na,0.010876010196002841,0.011149516605490434,0.012753724787560495,0.36131675459859325,0.3406325830003648,0.33934967855532866,0.021564171183872546,0.011722463305608116,0.06595237531344608,0.09803163350393894,0.11416076110169157,0.09985560009076881,0.12641738958531432,0.13424855626234672,0.12078118427057037,0.041677175448332514,1.063090605300759,1.0085890602714043,1.0094902422606467,1.5494999609285613,1.209198300338096
DISK SEQ R,na,na,na,0.004141212903605195,0.0045536669630441345,0.010288562993124063,0.6369289860250907,0.607765527892212,0.6173583593653323,0.003178216907045643,0.004601155614602297,0.009957116604759642,0.004358688737925001,0.00573070400880271,0.0008329345641703756,0.0017056852890008822,0.0008786945744024251,0.002517263447021052,0.0221179460246799,0.28105719945413077,0.2695032983096615,0.2612964370826159,0.16398957763010913,0.1564320601264178
NETB 3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.8149575103613309,0.7735884343860708,0.7847529390220984,0.7100578160104988,0.7779332882491088,0.8676552918198635
