provider,instance,bench_key,bench_name,extracted_name,unit,avg,min,max,std,score_$,std_perc,integral_neg,integral_neg_th_5,integral_neg_th_10,integral_neg_th_20,grad_std_perc
azure,A2-1 - eu,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,23.312418252806246,0.5766666666666667,27.76666666666667,2.0003170906857934,267.9588304920258,0.08580478734525981,-0.029932946782228898,-0.026116831915990412,-0.01504138317636408,-2.150960489273213e-06,0.04409455870827229
azure,A2-2 - eu,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,23.367871720116618,13.840000000000002,28.099999999999998,1.6686225912081132,268.59622666800715,0.07140669938596299,-0.029609311957383023,-0.02492369611073095,-0.014875639181649898,-0.000315396736344868,0.0198316815275253
azure,A4-1 - eu,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,23.277953648915187,0.26333333333333336,27.916666666666668,2.0859234140713383,127.20193250773326,0.08960939803952861,-0.030335631990185172,-0.027260970893042007,-0.014798416072922387,5.589363655514438e-06,0.04581215609789165
azure,B2MS-1 - eu,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,23.348803482587066,15.126666666666665,27.39,1.596748886799334,243.21670294361527,0.0683867542930047,-0.02860572020294989,-0.02317204250951763,-0.014846913553748594,1.0470892438358937e-05,0.01645756273087867
azure,B2MS-2 - eu,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,23.341937984496123,19.143333333333334,27.50333333333333,1.5563656751628143,243.14518733850127,0.06667679762479718,-0.028323572888379507,-0.022896753097112636,-0.016192350963782295,-1.1475094834970038e-05,0.013549632689304569
azure,B4MS-1 - eu,4b7ccf0064e0a3ebfe54a6a139b35958a896593b,nench-benchmark,net speed - OVH BHS (CA),MiB/s,23.43547822983583,15.943333333333333,27.366666666666664,1.5616271401747548,122.05978244706161,0.06663517274363273,-0.02866938507359734,-0.021385648021432346,-0.014560948009749402,9.637671779873346e-06,0.014046281977201657
azure,A2-1 - eu,4edcdef29160f30a36d7e070b8267674e810f5f0,nench-benchmark,ioping: avg seek rate,us,313.42913616398243,68.26666666666667,637.4,113.26748934854353,0.03667257299126639,0.3613814935484598,0.1585169837264926,0.15783976586174683,0.15564914592550252,0.1506530260750951,0.22386838445116727
azure,A2-2 - eu,4edcdef29160f30a36d7e070b8267674e810f5f0,nench-benchmark,ioping: avg seek rate,us,244.66251214771623,73.23333333333333,642.4000000000001,83.23698675261839,0.046980032914169974,0.34021144482634774,0.11595669101947852,0.11463195814506966,0.11178572164432649,0.1060149970725346,0.2417166270189964
azure,A4-1 - eu,4edcdef29160f30a36d7e070b8267674e810f5f0,nench-benchmark,ioping: avg seek rate,us,238.4467455621302,64.86666666666667,778.6,80.91682645907314,0.022916986606106155,0.3393496785553287,0.11493893604188668,0.11353965263040552,0.1105729392084243,0.10001928947339761,0.23647548088114462
azure,B2MS-1 - eu,4edcdef29160f30a36d7e070b8267674e810f5f0,nench-benchmark,ioping: avg seek rate,us,377.0720895522388,372.6000000000001,510.2666666666667,8.136632515044328,0.027625133111910057,0.021578453405836324,0.004090942785974167,0.002009598671459559,0.0009838406167850342,0.0009838406167850342,0.01548882381823448
